date,n_pos,R_t
2020-04-14,,
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-18,,
2020-04-19,,
2020-04-20,,
2020-04-21,,
2020-04-22,,
2020-04-23,,
2020-04-24,,
2020-04-25,,
2020-04-26,,
2020-04-27,,
2020-04-28,,
2020-04-29,,
2020-04-30,,
2020-05-01,,
2020-05-02,,
2020-05-03,,
2020-05-04,,
2020-05-05,,
2020-05-06,,
2020-05-07,,
2020-05-08,,
2020-05-09,,
2020-05-10,,
2020-05-11,,
2020-05-12,,
2020-05-13,,
2020-05-14,55.995391705069125,0.903382603367277
2020-05-15,53.55299539170507,0.8988211699656575
2020-05-16,51.13364055299539,0.8959803232204664
2020-05-17,48.78341013824885,0.8935679981742761
2020-05-18,46.21198156682027,0.8883171969466226
2020-05-19,43.926267281105986,0.8874377237667406
2020-05-20,41.82949308755761,0.8895685607995081
2020-05-21,39.65437788018433,0.8887938469751993
2020-05-22,37.695852534562206,0.8910366394889527
2020-05-23,35.82488479262673,0.8925008521334044
2020-05-24,34.013824884792626,0.8948403178115321
2020-05-25,32.46082949308756,0.9001458407740418
2020-05-26,30.981566820276498,0.9036163109042128
2020-05-27,29.493087557603683,0.9055309524784599
2020-05-28,28.07373271889401,0.9080008062073731
2020-05-29,26.737327188940093,0.9086501137085597
2020-05-30,25.548387096774192,0.9098130549083491
2020-05-31,24.497695852534562,0.9131564967379823
2020-06-01,23.442396313364053,0.9129938327916117
2020-06-02,22.483870967741936,0.9197931842569973
2020-06-03,21.46543778801843,0.9224698711968469
2020-06-04,20.571428571428573,0.9270663466231729
2020-06-05,19.769585253456217,0.9361849342635279
2020-06-06,19.004608294930875,0.9461790025109393
2020-06-07,18.299539170506915,0.9550553702801814
2020-06-08,17.654377880184335,0.9646700951050305
2020-06-09,16.981566820276498,0.9668901291523037
2020-06-10,16.465437788018434,0.9718260236755241
2020-06-11,16.013824884792626,0.9762333899824817
2020-06-12,15.599078341013824,0.9779111731446373
2020-06-13,15.27188940092166,0.9813307126784383
2020-06-14,14.953917050691244,0.9839895825436656
2020-06-15,14.718894009216589,0.9890894856105286
2020-06-16,14.580645161290322,1.001501578922688
2020-06-17,14.483870967741936,1.0135366833289972
2020-06-18,14.433179723502304,1.0242950597119724
2020-06-19,14.400921658986176,1.0325649935155854
2020-06-20,14.36405529953917,1.037236322070658
2020-06-21,14.36405529953917,1.0416082733625662
2020-06-22,14.396313364055299,1.046596959875013
2020-06-23,14.35483870967742,1.0451608547665139
2020-06-24,14.331797235023041,1.044326320672803
2020-06-25,14.32258064516129,1.0445015196755725
2020-06-26,14.368663594470046,1.048652577090152
2020-06-27,14.43778801843318,1.0536806651651398
2020-06-28,14.483870967741936,1.0558587874371153
2020-06-29,14.566820276497696,1.0594912689594325
2020-06-30,14.668202764976959,1.0634801728750787
2020-07-01,14.709677419354838,1.062453478996818
2020-07-02,14.764976958525345,1.062291769125208
2020-07-03,14.67741935483871,1.0509017850990074
2020-07-04,14.580645161290322,1.0403430242647524
2020-07-05,14.479262672811059,1.031859591014018
2020-07-06,14.258064516129032,1.0160501079706135
2020-07-07,13.995391705069123,1.0004312024627195
2020-07-08,13.732718894009217,0.9903203785682381
