date,n
2020-02-23,1
2020-03-01,30
2020-03-08,217
2020-03-15,1215
2020-03-22,1438
2020-03-29,1733
2020-04-05,1192
2020-04-12,763
2020-04-19,575
2020-04-26,423
2020-05-03,309
2020-05-10,222
2020-05-17,127
2020-05-24,108
2020-05-31,86
2020-06-07,114
2020-06-14,83
2020-06-21,110
2020-06-28,112
2020-07-05,67
2020-07-12,65
2020-07-19,53
2020-07-26,94
2020-08-02,199
2020-08-09,372
2020-08-16,370
2020-08-23,360
2020-08-30,377
2020-09-06,741
2020-09-13,765
2020-09-20,720
2020-09-27,787
2020-10-04,818
2020-10-11,1058
2020-10-18,943
2020-10-25,1709
2020-11-01,3149
2020-11-08,4045
2020-11-15,4090
2020-11-22,3659
2020-11-29,2926
2020-12-06,2526
2020-12-13,2724
2020-12-20,2948
2020-12-27,3244
2021-01-03,3869
2021-01-10,4682
2021-01-17,3009
2021-01-24,2222
2021-01-31,1945
2021-02-07,1844
2021-02-14,1735
2021-02-21,2034
2021-02-28,3111
2021-03-07,4190
2021-03-14,5665
2021-03-21,6575
2021-03-28,5920
2021-04-04,5109
2021-04-11,4825
2021-04-18,3739
2021-04-25,3222
2021-05-02,2804
2021-05-09,3120
2021-05-16,2564
2021-05-23,3227
2021-05-30,2289
2021-06-06,1864
2021-06-13,1220
2021-06-20,1254
2021-06-27,1271
2021-07-04,1305
2021-07-11,1178
2021-07-18,1184
2021-07-25,1503
2021-08-01,2281
2021-08-08,2997
2021-08-15,3751
2021-08-22,4508
2021-08-29,8714
2021-09-05,10107
2021-09-12,8556
2021-09-19,5731
2021-09-26,4615
2021-10-03,3484
2021-10-10,3011
2021-10-17,2833
2021-10-24,4403
2021-10-31,7006
2021-11-07,9840
2021-11-14,11823
2021-11-21,14721
2021-11-28,18464
2021-12-05,26607
2021-12-12,34162
2021-12-19,31134
2021-12-26,22829
2022-01-02,26657
2022-01-09,46414
2022-01-16,72819
2022-01-23,119494
2022-01-30,135473
2022-02-06,128722
2022-02-13,138514
2022-02-20,100895
2022-02-27,100978
2022-03-06,65423
2022-03-13,42062
2022-03-20,26682
2022-03-27,17534
2022-04-03,10513
2022-04-10,6895
2022-04-17,3645
2022-04-24,3777
2022-05-01,2258
2022-05-08,1881
2022-05-15,1775
2022-05-22,1556
2022-05-29,1587
2022-06-05,1869
2022-06-12,2113
2022-06-19,3068
2022-06-26,4605
2022-07-03,3838
2022-07-10,2351
2022-07-17,1985
2022-07-24,1600
2022-07-31,1340
2022-08-07,1142
2022-08-14,1107
2022-08-21,851
2022-08-28,742
2022-09-04,647
2022-09-11,545
2022-09-18,521
2022-09-25,444
2022-10-02,492
2022-10-09,511
2022-10-16,499
2022-10-23,561
2022-10-30,780
2022-11-06,879
2022-11-13,786
